GEMEENTE;AFGEWEZEN;GEHEEL_TOEGEKEND;GEDEELTELIJK_TOEGEKEND;BESLUIT_BK_HUURDERS;TOTAAL
Aa en Hunze;;;1;;1
Appingedam;45;60;136;;241
Bedum;41;66;144;;251
De Marne;9;9;29;;47
Delfzijl;68;73;259;;400
Deurne;1;;;;1
Deventer;1;;;;1
Edam-Volendam;1;;;;1
Eemsmond;55;74;181;;310
Gemeente onbekend;31;;1;;32
Groningen;286;419;1125;;1830
Grootegast;1;;1;;2
Haren;14;38;97;;149
Kollumerland en Nieuwkruisland;;;1;;1
Leek;1;1;6;;8
Loppersum;32;57;138;;227
Marum;2;;;;2
Midden-Groningen;112;404;600;36;1152
Noordenveld;7;;3;;10
Oldambt;25;23;80;;128
Pekela;5;;3;;8
Rotterdam;1;;;;1
Ten Boer;21;30;117;;168
Tynaarlo;3;5;16;;24
Veendam;18;21;56;;95
Westerwolde;2;;2;;4
Winsum;31;40;121;;192
Zuidhorn;10;9;29;;48
